Female	Soccer	1997	0	24930
Female	Soccer	1997	1	51
Female	Soccer	1998	0	22887
Female	Soccer	1998	1	47
Female	Soccer	1999	0	27107
Female	Soccer	1999	1	60
Female	Lacrosse	1997	0	8750
Female	Lacrosse	1997	1	12
Female	Lacrosse	1998	0	7115
Female	Lacrosse	1998	1	7
Female	Lacrosse	1999	0	8524
Female	Lacrosse	1999	1	7
Female	Basketball	1997	0	29397
Female	Basketball	1997	1	16
Female	Basketball	1998	0	38144
Female	Basketball	1998	1	30
Female	Basketball	1999	0	28966
Female	Basketball	1999	1	26
Female	Softball/Baseball	1997	0	26825
Female	Softball/Baseball	1997	1	9
Female	Softball/Baseball	1998	0	44270
Female	Softball/Baseball	1998	1	10
Female	Softball/Baseball	1999	0	75327
Female	Softball/Baseball	1999	1	28
Female	Gymnastics	1997	0	8902
Female	Gymnastics	1997	1	1
Female	Gymnastics	1998	0	822
Female	Gymnastics	1998	1	0
Female	Gymnastics	1999	0	2083
Female	Gymnastics	1999	1	0
Male	Soccer	1997	0	30922
Male	Soccer	1997	1	34
Male	Soccer	1998	0	19115
Male	Soccer	1998	1	27
Male	Soccer	1999	0	25596
Male	Soccer	1999	1	40
Male	Lacrosse	1997	0	13467
Male	Lacrosse	1997	1	19
Male	Lacrosse	1998	0	9499
Male	Lacrosse	1998	1	15
Male	Lacrosse	1999	0	12160
Male	Lacrosse	1999	1	17
Male	Basketball	1997	0	27698
Male	Basketball	1997	1	8
Male	Basketball	1998	0	39346
Male	Basketball	1998	1	21
Male	Basketball	1999	0	32816
Male	Basketball	1999	1	20
Male	Softball/Baseball	1997	0	51329
Male	Softball/Baseball	1997	1	22
Male	Softball/Baseball	1998	0	49201
Male	Softball/Baseball	1998	1	6
Male	Softball/Baseball	1999	0	80190
Male	Softball/Baseball	1999	1	25
Male	Gymnastics	1997	0	227
Male	Gymnastics	1997	1	0
Male	Gymnastics	1998	0	221
Male	Gymnastics	1998	1	0
Male	Gymnastics	1999	0	1179
Male	Gymnastics	1999	1	0

